CODE,Country,Date,Confirmed Cases,Daily Confirmed,Deaths,Daily Deaths,Recovered,Daily Recovered,Region,Income Level,GDP,Population
MDG,Madagascar,3/26/2020,23,4,0,0,0,0,Sub-Saharan Africa,Low income,13542000000,26969307
MDG,Madagascar,4/15/2020,110,2,0,0,29,6,Sub-Saharan Africa,Low income,13542000000,26969307
COG,Congo (Brazzaville),5/18/2020,412,21,15,0,110,23,Sub-Saharan Africa,Low income,NULL,0
 #N/A,Holy See,4/27/2020,9,0,0,0,2,0,Europe,NULL,NULL,NULL
DEU,Germany,1/28/2020,4,4,NULL,0,NULL,0,Europe,High income,4157120000000,83517045
DEU,Germany,1/31/2020,5,1,NULL,0,NULL,0,Europe,High income,4157120000000,83517045
DEU,Germany,2/29/2020,79,31,0,0,16,0,Europe,High income,4157120000000,83517045
MDV,Maldives,4/4/2020,19,0,0,0,13,0,South Asia,Upper middle income,6213000000,530953
ALB,Albania,3/21/2020,76,6,2,0,2,2,Europe,Upper middle income,17210000000,2880917
GNQ,Guinea,4/1/2020,30,8,0,0,0,0,Sub-Saharan Africa,Low income,13603000000,12771246
GNB,Guinea-Bissau,5/19/2020,1038,6,6,2,42,4,Sub-Saharan Africa,Low income,1669000000,1920922
POL,Poland,3/10/2020,22,6,0,0,0,0,Europe,High income,643274000000,37887768
POL,Poland,3/13/2020,68,19,2,1,0,0,Europe,High income,643274000000,37887768
POL,Poland,5/4/2020,14006,313,698,20,4095,150,Europe,High income,643274000000,37887768
THA,Thailand,3/26/2020,1045,111,4,0,88,18,East Asia & Pacific,Upper middle income,547431000000,69037513
THA,Thailand,4/30/2020,2954,7,54,0,2684,19,East Asia & Pacific,Upper middle income,547431000000,69037513
GNQ,Equatorial Guinea,4/1/2020,15,3,0,0,1,0,Sub-Saharan Africa,Upper middle income,12263000000,1355986
MYS,Malaysia,3/23/2020,1518,212,14,4,159,20,East Asia & Pacific,Upper middle income,401985000000,31949777
OMN,Oman,4/19/2020,1266,86,7,1,233,57,Middle East & North Africa,High income,84158000000,4974986
OMN,Oman,5/12/2020,3721,148,17,0,1250,0,Middle East & North Africa,High income,84158000000,4974986
HTI,Haiti,4/18/2020,44,1,3,0,0,0,Latin America & Caribbean,Low income,9648000000,11263770
HTI,Haiti,5/11/2020,209,27,16,1,17,0,Latin America & Caribbean,Low income,9648000000,11263770
SWZ,Eswatini,4/2/2020,9,0,0,0,0,0,Sub-Saharan Africa,Lower middle income,4711000000,1148130
IND,India,5/8/2020,59695,3344,1985,96,17887,1111,South Asia,Lower middle income,3257720000000,1366417754
BHR,Bahrain,2/24/2020,1,1,0,0,0,0,Middle East & North Africa,High income,40707000000,1641172
BHR,Bahrain,5/4/2020,3533,150,8,0,1744,26,Middle East & North Africa,High income,40707000000,1641172
HRV,Croatia,5/30/2020,2246,1,103,0,2063,4,Europe,High income,64590000000,4130304
KEN,Kenya,3/27/2020,31,0,1,0,1,0,Sub-Saharan Africa,Lower middle income,109116000000,52573973
KSV,Kosovo,4/12/2020,283,0,7,0,58,0,Europe,Upper middle income,7939000000,1810463
TCD,Chad,4/2/2020,8,1,0,0,0,0,Sub-Saharan Africa,Low income,12547000000,15946876
